nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020985,3512096,1,1,15.03,3.814,tip,not_rebound,not_rush,ev,center,unknown,blocked-shot,35,trailing_by_1,late_period,p2
2025020985,3512099,0,1,64.20,161.847,wrist,not_rebound,not_rush,ev,left,true,faceoff,35,tied,late_period,p2
2025020985,3512100,0,1,24.33,80.538,wrist,not_rebound,not_rush,ev,left,false,shot-on-goal,6,tied,late_period,p2
2025020985,3512105,0,0,32.45,123.690,snap,not_rebound,not_rush,ev,left,true,hit,35,tied,early_period,p3
2025020985,3512110,0,0,26.63,34.287,wrist,not_rebound,not_rush,pp,left,false,faceoff,15,tied,early_period,p3
2025020985,3512111,0,1,158.01,179.275,wrist,not_rebound,not_rush,pk,center,unknown,missed-shot,2,tied,early_period,p3
2025020985,3512112,0,0,51.11,149.421,snap,not_rebound,not_rush,pk,right,true,shot-on-goal,36,tied,early_period,p3
2025020985,3512113,0,1,32.76,77.661,wrist,not_rebound,not_rush,pp,left,true,missed-shot,9,tied,early_period,p3
2025020985,3512114,1,1,10.77,21.801,other,rebound,not_rush,pp,center,unknown,shot-on-goal,2,tied,early_period,p3
2025020985,3512116,0,1,23.09,175.030,snap,not_rebound,not_rush,ev,center,unknown,faceoff,48,trailing_by_1,early_period,p3
2025020985,3512117,0,0,8.25,165.964,tip,not_rebound,not_rush,ev,center,unknown,shot-on-goal,26,trailing_by_1,early_period,p3
2025020985,3512122,0,1,18.60,53.746,wrist,not_rebound,rush_attempt,ev,right,true,giveaway,1,leading_by_1,early_period,p3
2025020985,3512123,0,0,17.49,59.036,wrist,rebound,rush_rebound,ev,right,true,shot-on-goal,2,leading_by_1,early_period,p3
2025020985,3512125,0,1,39.96,58.299,wrist,not_rebound,rush_attempt,ev,right,true,giveaway,3,leading_by_1,early_period,p3
2025020512,3480363,0,1,38.21,6.009,snap,not_rebound,not_rush,pp,center,unknown,missed-shot,27,tied,middle_period,p1
